Imię	Nazwisko	Klasa	Polski	Angielski	Niemiecki	Matematyka	Fizyka	Chemia	Biologia	Geografia	Plastyka	Informatyka	WF	Religia
Lejzorek	Apfelbaum	O	5,5 	4,5 	3,0 	1,5 	3,5 	4,5 	1,5 	4,5 	5,0 	3,0 	2,5 	4,0 
Hafez	Asad	O	2,0 	2,5 	1,0 	2,0 	5,0 	1,5 	4,5 	3,0 	5,0 	1,0 	1,5 	2,0 
Menachem	Begin	O	4,0 	3,0 	1,0 	5,0 	2,5 	4,5 	2,0 	3,5 	2,5 	1,0 	3,0 	1,5 
Ben	Bella	O	2,0 	3,0 	5,0 	4,0 	2,5 	3,0 	2,0 	3,5 	2,5 	1,0 	4,0 	2,0 
Jakub	Berman	O	3,0 	3,5 	4,0 	1,0 	3,0 	4,0 	1,5 	5,0 	4,5 	4,5 	5,0 	1,5 
Huari	Bumedien	O	2,0 	2,5 	4,0 	1,0 	2,5 	4,0 	1,0 	4,5 	4,0 	2,5 	4,0 	2,0 
Saddam	Husajn	O	1,0 	5,0 	2,0 	2,0 	3,5 	5,0 	2,0 	3,0 	3,0 	3,0 	3,0 	2,0 
Muammar	Kaddafi	O	1,0 	1,0 	3,5 	1,5 	3,5 	4,5 	2,0 	1,5 	5,0 	2,5 	3,0 	1,0 
Golda	Meier	O	3,0 	4,0 	2,0 	1,5 	4,5 	1,0 	4,0 	2,0 	4,5 	1,5 	2,5 	2,0 
Yehudi	Menuhin	O	2,0 	1,5 	5,5 	2,0 	4,0 	5,0 	2,5 	1,0 	1,0 	1,0 	1,0 	3,0 
Hilary	Minc	O	2,5 	2,0 	1,0 	2,5 	5,5 	2,0 	5,0 	4,0 	5,5 	2,0 	1,5 	2,0 
Gamal	Naser	O	1,0 	1,0 	5,0 	1,0 	2,5 	4,0 	1,0 	1,5 	4,0 	1,5 	2,0 	2,0 
Szymon	Peres	O	4,0 	3,5 	4,0 	3,0 	6,0 	2,5 	5,5 	3,5 	3,5 	3,5 	3,5 	3,5 
Icchak	Rabin	O	4,0 	4,5 	2,0 	3,0 	6,0 	2,5 	5,5 	5,0 	6,0 	3,0 	1,5 	2,5 
Samuel	Rotszwanc	O	5,0 	3,5 	4,0 	2,0 	5,0 	1,5 	4,5 	3,5 	3,5 	3,5 	3,5 	4,0 
Artur	Rubinstein	O	3,0 	5,0 	3,5 	2,5 	2,5 	1,5 	1,0 	2,5 	4,0 	1,0 	2,5 	3,5 
Marian	Spychalski	O	3,0 	1,0 	3,0 	1,5 	3,5 	4,5 	2,0 	6,0 	5,0 	6,0 	2,5 	1,0 
Arcymistrz	Tartakower	O	2,0 	3,0 	3,0 	2,0 	1,0 	1,0 	1,0 	3,0 	1,5 	1,0 	2,0 	2,0 
Benon	Tejkowski	O	2,0 	3,0 	5,5 	4,5 	2,5 	3,5 	1,0 	2,5 	4,0 	1,0 	4,5 	1,0 
Edward	Babiuch	P	3,0 	1,0 	5,0 	1,0 	2,5 	5,5 	1,0 	2,5 	4,0 	1,5 	1,0 	1,0 
Leszek	Balcerowicz	P	4,5 	4,5 	2,5 	3,5 	1,0 	3,0 	6,0 	3,0 	1,0 	3,5 	2,5 	3,5 
Marek	Belka	P	4,0 	5,0 	2,0 	4,0 	1,5 	3,5 	1,0 	3,0 	1,5 	4,5 	2,5 	2,0 
Jan	Bielecki	P	5,0 	4,5 	3,0 	4,0 	1,5 	3,5 	1,0 	2,5 	1,5 	5,0 	1,5 	3,5 
Marek	Borowski	P	5,0 	5,0 	3,0 	1,5 	3,5 	4,5 	2,0 	5,5 	5,0 	5,0 	2,5 	2,5 
Leszek	Bubel	P	3,0 	2,0 	3,0 	1,5 	3,5 	4,5 	2,0 	5,0 	5,0 	4,0 	2,5 	2,0 
Jerzy	Buzek	P	4,0 	4,5 	5,5 	6,0 	3,5 	5,5 	3,0 	3,0 	3,5 	3,0 	2,0 	4,0 
Włodzimierz	Cimoszewicz	P	4,0 	2,0 	5,0 	2,0 	4,0 	5,0 	2,5 	6,0 	6,0 	6,0 	6,0 	1,0 
Józef	Cyrankiewicz	P	2,0 	3,5 	4,5 	1,5 	4,5 	1,0 	4,0 	3,0 	4,5 	5,0 	2,0 	2,0 
Lech	Falandysz	P	6,0 	5,0 	3,0 	3,0 	6,0 	2,5 	5,5 	3,0 	6,0 	2,5 	2,5 	4,0 
Jan Maria	Jackowski	P	5,0 	4,0 	4,0 	4,5 	2,0 	4,0 	1,5 	2,5 	2,0 	6,0 	1,5 	6,0 
Piotr	Jaroszewicz	P	3,0 	6,0 	1,0 	2,0 	3,5 	4,5 	2,0 	2,0 	2,0 	2,0 	2,0 	2,0 
Wojciech	Jaruzelski	P	4,0 	3,5 	4,0 	5,0 	2,5 	4,5 	2,0 	4,0 	4,0 	4,0 	4,0 	1,0 
Marek	Jurek	P	5,0 	3,5 	1,5 	4,5 	2,0 	4,0 	1,5 	3,0 	2,0 	5,5 	2,5 	6,0 
Jarosław	Kaczyński	P	4,0 	3,5 	4,0 	1,0 	3,0 	4,0 	1,5 	1,0 	4,5 	1,5 	2,0 	3,5 
Jarosław	Kalinowski	P	3,0 	1,0 	6,0 	5,5 	3,0 	5,0 	2,5 	3,0 	3,0 	2,0 	2,0 	3,0 
Grzegorz	Kołodko	P	4,5 	4,5 	5,0 	1,0 	2,5 	4,0 	1,0 	2,5 	4,0 	1,5 	3,0 	3,5 
Janusz	Korwin-Mikke	P	6,0 	4,0 	5,0 	5,0 	2,5 	4,5 	2,0 	3,0 	2,5 	1,0 	2,0 	4,5 
Jacek	Kuroń	P	5,0 	3,0 	2,0 	3,5 	1,0 	3,0 	6,0 	6,0 	1,0 	4,0 	1,5 	4,5 
Aleksander	Kwaśniewski	P	5,0 	3,5 	1,5 	3,0 	3,0 	3,0 	3,5 	2,5 	5,0 	2,0 	5,0 	2,0 
Barbara	Labuda	P	4,0 	3,0 	4,5 	3,5 	2,5 	2,5 	1,0 	2,5 	4,0 	1,0 	3,5 	2,5 
Andrzej	Lepper	P	2,0 	1,0 	2,5 	1,5 	2,5 	4,0 	1,0 	2,5 	4,0 	1,0 	1,5 	3,5 
Tadeusz	Mazowiecki	P	4,5 	3,5 	3,5 	2,0 	4,0 	5,0 	2,0 	4,5 	4,5 	4,5 	4,5 	5,0 
Włodzimierz	Messner	P	4,0 	3,5 	4,0 	4,5 	2,0 	4,0 	1,5 	3,5 	3,5 	3,5 	3,5 	2,5 
Stefan	Niesiołowski	P	4,0 	3,5 	4,0 	2,5 	5,5 	2,0 	5,0 	3,5 	3,5 	3,5 	3,5 	5,5 
Józef	Oleksy	P	4,0 	4,0 	4,0 	2,0 	5,0 	1,5 	4,5 	3,0 	5,0 	6,0 	2,0 	3,5 
Jan	Olszewski	P	5,0 	4,5 	4,0 	1,0 	3,0 	4,0 	1,5 	5,5 	4,5 	5,5 	5,5 	5,0 
Edward	Osóbka-Morawski	P	5,0 	2,0 	3,0 	1,0 	4,0 	6,0 	3,5 	1,0 	4,0 	1,5 	1,5 	3,5 
Waldemar	Pawlak	P	2,0 	3,5 	4,0 	4,0 	1,5 	3,5 	1,0 	3,5 	3,5 	3,5 	3,5 	3,5 
Józef	Pińkowski	P	2,0 	4,5 	3,0 	1,5 	3,0 	4,5 	1,5 	3,0 	4,5 	5,5 	2,0 	2,0 
Mieczysław	Rakowski	P	4,0 	2,0 	3,5 	1,5 	3,5 	4,5 	2,0 	1,0 	5,0 	1,5 	3,0 	2,0 
Jan Maria	Rokita	P	5,0 	3,5 	4,0 	1,0 	3,0 	4,0 	1,5 	6,0 	4,5 	6,0 	2,0 	5,5 
Izabela	Sierakowska	P	4,5 	3,5 	4,0 	1,0 	3,0 	4,0 	1,0 	5,5 	4,5 	3,5 	4,5 	1,0 
Hanna	Suchocka	P	4,5 	5,0 	4,0 	1,0 	2,5 	4,0 	1,0 	3,5 	4,0 	1,5 	3,5 	5,0 
Mieczysław	Wachowski	P	4,0 	1,0 	6,0 	5,5 	3,0 	5,0 	2,5 	3,5 	3,0 	2,0 	3,0 	4,0 
Wiesław	Walendziak	P	3,5 	2,5 	4,5 	2,0 	4,0 	5,0 	2,5 	5,5 	5,5 	5,5 	5,5 	5,0 
Lech	Wałęsa	P	6,0 	1,0 	3,0 	1,5 	3,0 	4,5 	1,5 	4,0 	4,5 	2,0 	2,5 	6,0 
Danuta	Waniek	P	4,0 	3,0 	6,0 	5,0 	3,0 	4,0 	2,5 	4,0 	3,0 	1,0 	5,0 	1,0 
Ainards	Bagatskis	S	2,0 	4,0 	1,0 	2,0 	3,5 	4,0 	2,5 	5,0 	1,0 	1,0 	5,0 	4,0 
Kobe	Bryant	S	2,0 	4,0 	3,5 	2,5 	5,5 	2,0 	5,0 	3,0 	5,5 	1,5 	2,5 	3,0 
Joe	Ctvrtlik	S	2,0 	5,0 	5,0 	1,0 	4,0 	6,0 	3,5 	3,0 	4,0 	4,0 	2,0 	2,5 
Tim	Duncan	S	1,0 	3,5 	4,0 	3,5 	1,0 	3,0 	6,0 	3,5 	3,5 	3,5 	3,5 	4,5 
Patrick	Ewing	S	2,0 	3,5 	4,0 	6,0 	3,5 	5,5 	3,0 	3,5 	3,5 	3,5 	3,5 	2,0 
Ronnie	Ftorek	S	2,5 	3,5 	4,0 	1,5 	4,5 	1,0 	4,0 	3,5 	3,5 	3,5 	3,5 	4,0 
Vytautas	Gerulaitis	S	1,0 	3,0 	4,0 	2,0 	4,0 	5,0 	2,5 	5,0 	5,0 	5,0 	5,0 	4,0 
Jeff	Hornacek	S	2,0 	5,0 	3,0 	1,0 	3,0 	4,0 	1,5 	1,5 	4,5 	2,5 	2,0 	2,0 
Zyndrunas	Ilgauskas	S	1,0 	3,5 	1,0 	5,5 	3,0 	5,0 	2,5 	4,0 	4,0 	4,0 	4,0 	3,0 
Allan	Iverson	S	1,0 	5,0 	2,0 	1,0 	2,5 	1,5 	4,0 	2,5 	3,5 	1,0 	6,0 	3,0 
Avery	Johnson	S	2,0 	5,0 	4,0 	3,0 	2,0 	2,0 	1,5 	3,0 	2,0 	1,0 	3,0 	3,0 
Darius	Kaparaitis	S	2,0 	4,5 	5,0 	5,5 	2,5 	4,5 	1,0 	2,5 	4,0 	1,0 	5,5 	3,5 
Steve	Kerr	S	2,0 	4,0 	3,0 	2,0 	3,5 	5,0 	2,0 	4,0 	4,0 	4,0 	4,0 	4,0 
Karl	Malone	S	2,0 	5,0 	3,0 	1,5 	3,0 	4,5 	1,5 	3,5 	4,5 	1,0 	2,5 	3,0 
Raimonds	Miglinieks	S	2,0 	3,5 	4,0 	1,0 	4,0 	6,0 	3,5 	3,5 	3,5 	3,5 	3,5 	3,5 
Joe	Nieuwendyk	S	2,0 	4,5 	3,0 	1,5 	3,0 	4,0 	1,5 	2,0 	4,5 	3,5 	2,0 	3,5 
Shaquille	O'Neill	S	2,0 	4,5 	2,5 	2,0 	3,5 	5,0 	2,0 	3,5 	3,5 	3,5 	3,5 	4,5 
David	Robinson	S	2,0 	5,0 	4,0 	6,0 	3,5 	5,0 	3,0 	4,5 	3,5 	1,0 	6,0 	4,0 
